,1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全区生产总值（当年价）（亿元）,48.55,68.4,163.83,319.31,857.0643,1023.0901,1153.5068,1262.5363,1379.3125,1539.1178,1713.814,1940.9373,2388.3807,3041.07,3905.0283,4944.2456,6423.1776,8496.1953,9740.2525,11672,14359.8827,15880.58,16916.5,17770.19,17831.5088
第一产业生产总值（当年价）（亿元）,18.15,18.03,53.54,112.57,260.18,312.82,322.52,341.62,342.91,350.8,358.89,374.69,420.1,522.8,589.56,634.9351,762.1,907.95,929.5972,1095.28,1306.3,1448.58,1575.76,1627.85,1617.4219
第二产业生产总值（当年价）（亿元）,20.02,32.26,56.95,102.43,308.7841,364.7682,422.3914,458.8601,510.4676,582.5737,655.6812,754.7786,967.4881,1248.2663,1773.2131,2374.9623,3193.67,4376.1876,5114.0015,6367.69,8037.689,8801.5,9104.08,9119.79,9000.577
第三产业生产总值（当年价）（亿元）,10.38,18.11,53.34,104.31,288.1002,345.5019,408.5954,462.0562,525.9348,605.7441,699.2428,811.4686,1000.7926,1270,1542.2552,1934.3482,2467.4076,3212.06,3696.6538,4209.02,5015.8937,5630.5,6236.66,7022.55,7213.5099
人均生产总值（当年价）（元）,280,361,809,1478,3771.5431,4456.9377,4980.2769,5406.313,5860.9351,6501.9866,7210,8146,10015,12728,16285,20523,26521,34869,39735,47347,57974.1659,63886,67836,71046,71100.5442
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
