1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
441.6,460.7,517.8,515.5,536.8,546.8,544.6,542.6,555.4,553.7,550.5,552.3,548.7,559.3,560.46,565.29,569.3,556.69,557.95,571,573,583.4,580.9,582,572.3
95.5,129.7,174.8,201.4,225,223.4,213.2,207.1,185.5,182.4,179.3,173.7,152.5,153,162.7,168.04,183.6,186.17,193.28,206.2,221.5,236.1,264.6,271.4,249.7
70.4,108,164,207.7,267.6,268.8,292.5,300.6,315.8,325.5,337.2,360.1,303.9,313.8,317.87,317.84,328.6,360.42,391.229,407.5,454.8,485.4,562.7,632,641.7
